Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960,MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15374,NaN,5471,35.584
1960,MKD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1462368,NaN,497498,34.02
1960,MLI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5346792,NaN,591676,11.066
1960,MLT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,326550,NaN,294316,90.129
1960,MMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21720697,NaN,4176021,19.226
1960,MNE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,480579,NaN,90291,18.788
1960,MNG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,977903,NaN,348906,35.679
1960,MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8702,NaN,4457,51.219
1960,MOZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6788375,NaN,466226,6.868
1960,MRT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,838478,NaN,57687,6.88
1960,MUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,676683,NaN,237590,35.111
1960,MWI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,260.879947568623,NaN,NaN,3621081,NaN,158965,4.39
1960,MYS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1286.10133560254,NaN,NaN,7833782,NaN,2083629,26.598
1960,NAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,590181,NaN,105696,17.909
1960,NCL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79000,NaN,29514,37.36
1960,NER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,744.026216025225,NaN,NaN,3497431,NaN,202606,5.793
1960,NGA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1459.04352299208,NaN,NaN,44928342,NaN,6923458,15.41
1960,NIC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1665.4274097277,NaN,NaN,1789684,NaN,708375,39.581
1960,NLD,NaN,NaN,0,NaN,1353.399443231,1825.93425348129,NaN,14276.8700623396,NaN,NaN,11486631,NaN,6863492,59.752
1960,NOR,NaN,NaN,0,NaN,7681.14052147874,1906.17492996139,NaN,19134.0598784469,NaN,NaN,3581239,NaN,1787755,49.92
1960,NPL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,325.730427495093,NaN,NaN,10167941,NaN,353844,3.48
1960,NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4582,NaN,4582,100
1960,NZL,NaN,NaN,407000000,NaN,2457.20549793406,1685.78843072772,NaN,NaN,NaN,NaN,2371800,NaN,1802521,75.998
